epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.4781,0.61928,2.60022,1.04974,0.62811,0.77216,0.75997,0.70407,0.44667,1.20634,0.92955,0.000221485,0.000221485,0.000221485
2,117.668,0.53918,1.32861,0.98699,0.72901,0.80068,0.84685,0.7851,0.42219,0.9329,0.91443,0.000439424,0.000439424,0.000439424
3,171.838,0.51843,1.03814,0.97187,0.78904,0.85731,0.89356,0.82436,0.40034,0.76773,0.90261,0.000652962,0.000652962,0.000652962
4,225.528,0.50247,0.85794,0.96009,0.87842,0.87967,0.93923,0.87385,0.39324,0.64462,0.89764,0.00064719,0.00064719,0.00064719
5,279.572,0.47783,0.70354,0.95281,0.91588,0.90692,0.96183,0.89963,0.36976,0.52142,0.88368,0.000640587,0.000640587,0.000640587
6,333.599,0.45555,0.62519,0.94094,0.90088,0.90284,0.96238,0.90513,0.35347,0.50485,0.87556,0.000633983,0.000633983,0.000633983
7,387.874,0.45076,0.58026,0.9384,0.8558,0.86291,0.9187,0.86958,0.34482,0.72256,0.8699,0.00062738,0.00062738,0.00062738
8,442.053,0.42493,0.53155,0.92771,0.93269,0.92135,0.97425,0.92556,0.3215,0.40319,0.85873,0.000620777,0.000620777,0.000620777
9,510.661,0.40983,0.4999,0.92152,0.91749,0.90359,0.97369,0.92328,0.33846,0.45195,0.86592,0.000614174,0.000614174,0.000614174
10,589.137,0.40691,0.46845,0.91705,0.92131,0.88804,0.96815,0.92199,0.32387,0.46077,0.86207,0.00060757,0.00060757,0.00060757
11,664.833,0.39703,0.46755,0.91951,0.90543,0.94764,0.97327,0.92323,0.33144,0.38894,0.86277,0.000600967,0.000600967,0.000600967
12,732.046,0.3916,0.4435,0.91473,0.89646,0.90524,0.96533,0.92567,0.30262,0.49065,0.85318,0.000594364,0.000594364,0.000594364
13,798.917,0.39022,0.43218,0.91781,0.91491,0.90376,0.97175,0.92604,0.30137,0.40764,0.85025,0.00058776,0.00058776,0.00058776
14,876.502,0.38527,0.42298,0.9153,0.87605,0.85815,0.95463,0.90823,0.31632,0.61087,0.85993,0.000581157,0.000581157,0.000581157
15,954.356,0.36443,0.41421,0.90391,0.94803,0.93297,0.97763,0.94261,0.28954,0.33423,0.85299,0.000574554,0.000574554,0.000574554
16,1030.14,0.37199,0.40771,0.90528,0.93252,0.93952,0.9749,0.94038,0.29293,0.35049,0.84872,0.00056795,0.00056795,0.00056795
17,1106.04,0.36476,0.39885,0.90504,0.93322,0.92187,0.97118,0.93302,0.2786,0.34915,0.84302,0.000561347,0.000561347,0.000561347
18,1180.9,0.36067,0.38904,0.90577,0.89451,0.88366,0.96005,0.9268,0.27854,0.4676,0.84471,0.000554744,0.000554744,0.000554744
19,1256.89,0.3532,0.37929,0.8995,0.88364,0.8639,0.94695,0.91517,0.27412,0.58595,0.84658,0.000548141,0.000548141,0.000548141
20,1333.77,0.35676,0.38292,0.90178,0.94985,0.91645,0.97255,0.94182,0.26847,0.31958,0.83973,0.000541537,0.000541537,0.000541537
21,1410.24,0.34413,0.36799,0.89677,0.94353,0.94243,0.97846,0.94598,0.26923,0.29999,0.8395,0.000534934,0.000534934,0.000534934
22,1472.43,0.34431,0.37269,0.89775,0.93506,0.93533,0.97826,0.94529,0.26726,0.3111,0.84074,0.000528331,0.000528331,0.000528331
23,1541.75,0.33933,0.3631,0.89285,0.9292,0.93451,0.97797,0.9436,0.27234,0.31102,0.84002,0.000521727,0.000521727,0.000521727
24,1619.01,0.33579,0.35601,0.89103,0.94455,0.93542,0.98135,0.9465,0.26728,0.30943,0.83862,0.000515124,0.000515124,0.000515124
25,1696.6,0.3356,0.35189,0.89367,0.94395,0.92257,0.97696,0.94523,0.26443,0.33988,0.83741,0.000508521,0.000508521,0.000508521
26,1758.82,0.32894,0.34666,0.89033,0.96816,0.93488,0.98057,0.94944,0.25981,0.27909,0.83684,0.000501917,0.000501917,0.000501917
27,1825.29,0.32642,0.34324,0.88941,0.95421,0.93821,0.97724,0.94811,0.25666,0.28605,0.83319,0.000495314,0.000495314,0.000495314
28,1883.91,0.3202,0.33611,0.88632,0.93933,0.94062,0.97807,0.94817,0.25249,0.29431,0.83263,0.000488711,0.000488711,0.000488711
29,1942.8,0.32773,0.34503,0.89325,0.95625,0.93321,0.97917,0.94853,0.25675,0.28557,0.83296,0.000482108,0.000482108,0.000482108
30,2003.05,0.3221,0.34183,0.89227,0.938,0.9487,0.97817,0.94426,0.26843,0.29352,0.83916,0.000475504,0.000475504,0.000475504
31,2062.02,0.31726,0.33408,0.89019,0.95347,0.94243,0.97506,0.94992,0.23904,0.276,0.82978,0.000468901,0.000468901,0.000468901
32,2139.49,0.31177,0.3244,0.88475,0.96194,0.93482,0.97817,0.95258,0.23961,0.26642,0.82876,0.000462298,0.000462298,0.000462298
33,2212.54,0.31751,0.33056,0.88968,0.95254,0.94509,0.98011,0.95591,0.24236,0.25916,0.82813,0.000455694,0.000455694,0.000455694
34,2283.09,0.3116,0.32667,0.88387,0.93958,0.91541,0.98027,0.95007,0.24886,0.32091,0.83235,0.000449091,0.000449091,0.000449091
35,2347.33,0.30657,0.32095,0.8847,0.96083,0.94252,0.98162,0.95394,0.23517,0.25661,0.82694,0.000442488,0.000442488,0.000442488
