epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.5373,0.55229,3.12731,1.20017,0.00582,1,0.18855,0.14317,0.66041,2.78295,1.17654,0.00029694,0.00029694,0.00029694
2,24.4996,0.53166,2.29686,1.16206,0.40675,0.53729,0.36865,0.31387,0.54982,2.53389,1.12435,0.000594001,0.000594001,0.000594001
3,35.1513,0.51715,1.81492,1.13144,0.43481,0.63733,0.56861,0.42709,0.71303,3.59756,1.33633,0.000885062,0.000885062,0.000885062
4,45.5905,0.49842,1.43776,1.10908,0.77047,0.68114,0.77815,0.59089,0.70179,1.60745,1.34591,0.000882003,0.000882003,0.000882003
5,56.0816,0.50891,1.2801,1.13649,0.59522,0.69791,0.77819,0.60906,0.68439,1.67292,1.27146,0.000873004,0.000873004,0.000873004
6,66.4849,0.47438,1.08727,1.09664,0.84,0.71383,0.874,0.6845,0.75098,1.2802,1.25529,0.000864004,0.000864004,0.000864004
7,76.9462,0.46603,1.02275,1.09528,0.78014,0.85839,0.85671,0.70208,0.63693,1.03798,1.16136,0.000855005,0.000855005,0.000855005
8,87.3883,0.45165,0.97104,1.09076,0.73635,0.88279,0.86757,0.73345,0.52127,1.28917,1.05074,0.000846006,0.000846006,0.000846006
9,97.94,0.44476,0.87661,1.0838,0.94071,0.94782,0.98495,0.89709,0.44073,0.68075,0.96757,0.000837007,0.000837007,0.000837007
10,108.464,0.43815,0.86192,1.0767,0.82781,0.8407,0.91563,0.7296,0.60413,1.07799,1.10766,0.000828008,0.000828008,0.000828008
11,118.777,0.4381,0.76409,1.07252,0.76957,0.84589,0.94537,0.848,0.4511,0.95883,0.97064,0.000819009,0.000819009,0.000819009
12,129.325,0.42326,0.78158,1.07062,0.91829,0.91345,0.97322,0.89463,0.3835,0.5861,0.90913,0.00081001,0.00081001,0.00081001
13,140.264,0.38915,0.69617,1.04356,0.95092,0.89448,0.98246,0.91762,0.36562,0.55445,0.88526,0.000801011,0.000801011,0.000801011
14,154.45,0.39701,0.69528,1.04619,0.95381,0.91148,0.97347,0.87124,0.48771,0.70589,1.01419,0.000792012,0.000792012,0.000792012
15,169.057,0.40167,0.69481,1.05694,0.95908,0.95446,0.98497,0.90338,0.47921,0.58326,1.01599,0.000783013,0.000783013,0.000783013
16,183.94,0.387,0.63585,1.03997,0.82905,0.84522,0.89924,0.81047,0.42309,0.94955,0.9272,0.000774013,0.000774013,0.000774013
17,198.702,0.38742,0.62531,1.03397,0.92313,0.88829,0.97398,0.90876,0.38315,0.63838,0.89801,0.000765014,0.000765014,0.000765014
18,212.482,0.37689,0.60201,1.02945,0.95927,0.97436,0.98569,0.90553,0.4021,0.50856,0.93173,0.000756015,0.000756015,0.000756015
19,225.127,0.38153,0.59211,1.04391,0.91658,0.89236,0.97875,0.90722,0.3577,0.54087,0.87514,0.000747016,0.000747016,0.000747016
20,238.014,0.36686,0.53708,1.022,0.96438,0.95506,0.98203,0.92703,0.35831,0.43644,0.8783,0.000738017,0.000738017,0.000738017
21,249.997,0.3433,0.55415,1.01951,0.96586,0.93348,0.98309,0.92568,0.39735,0.4819,0.91368,0.000729018,0.000729018,0.000729018
22,262.23,0.35767,0.53117,1.02334,0.96256,0.96678,0.9802,0.90151,0.39893,0.42908,0.91493,0.000720019,0.000720019,0.000720019
23,273.631,0.36549,0.53715,1.02938,0.95945,0.99136,0.98758,0.94559,0.34165,0.54166,0.85028,0.00071102,0.00071102,0.00071102
